report_id,report_type,report_chapter,report_page,report_title,stage,data_source,source_year,unit,population_definition,current_web_component,current_data_file,proposed_web_role,proposed_chart_type,proposed_interactions,proposed_filters,priority,status,caveat,download_file,notes
FIG101,figure,1,TBD (needs final formatted report page numbers),How Many Research Doctorates Are Awarded by U.S. Universities?,degree-production,"NCSES, Survey of Earned Doctorates, 2010–2024; Thurgood, Golladay, and Hill, U.S. Doctorates in the 20th Century, 2006.",2010–2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG101*.csv,stage_hero,"long-run line chart (Nivo Line), 1900-present",brush/range select; period presets; observed-vs-estimate styling,field grouping,P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"Stage hero per 7.2 — note FIG101's own 'estimate'/'confirmed' flag column, currently dropped by the importer as non-numeric, should resurface as a real style distinction here."
FIG102,figure,1,TBD (needs final formatted report page numbers),How Has American Degree Production Changed Over Time?,degree-production,"NCES, IPEDS Completions, 1995–2024.",1995–2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG102*.csv,supporting_visual,degree-production explorer (Nivo Line/Bar),toggle count/share/change; degree-level + field filter,"degree level, field",P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Degree production composition"" — combine FIG102/103/104/105 into ONE explorer, not 4 panels."
FIG103,figure,1,TBD (needs final formatted report page numbers),How Many STEM Degrees Are Awarded in the United States?,degree-production,"NCES, IPEDS Completions, 1995–2024.",1995–2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG103*.csv,integrated_into_other_visual,same explorer as FIG102,,,P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),
FIG104,figure,1,TBD (needs final formatted report page numbers),What Share of Degrees Awarded Are in STEM Fields?,degree-production,"NCES, IPEDS Completions, 1995–2024.",1995–2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG104*.csv,integrated_into_other_visual,same explorer as FIG102,,,P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),
FIG105,figure,1,TBD (needs final formatted report page numbers),How Has the Composition of U.S. Research Doctorates Changed?,degree-production,"NCSES, Survey of Earned Doctorates, 2010–2024.",2010–2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG105*.csv,integrated_into_other_visual,same explorer as FIG102,,,P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),
FIG106,figure,1,TBD (needs final formatted report page numbers),How Has International Enrollment in U.S. Higher Education Grown?,degree-production,"IIE, ""International Student Enrollment Trends,"" Open Doors, 2025.",2025,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG106*.csv,supporting_visual,line + share overlay,,,P2,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),International enrollment total/share — feeds into FIG107/108's story.
FIG107,figure,1,TBD (needs final formatted report page numbers),What Share of All Degrees Awared in the US Are Earned by International Students?,degree-production,"NCES, IPEDS Completions, 1995–2024.",1995–2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG107*.csv,supporting_visual,100% stacked bar by degree level,toggle latest-year/trend,degree level,P1,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""Domestic vs international"" module — all-degrees version."
FIG108,figure,1,TBD (needs final formatted report page numbers),What Share of STEM Degrees Are Earned by International Students?,degree-production,"NCES, IPEDS Completions, 1995–2024.",1995–2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG108*.csv,supporting_visual,100% stacked bar by degree level,toggle latest-year/trend,degree level,P0,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"STEM-specific version — also feeds the Overview's ""Two Streams"" Sankey (already built, real data reused, not duplicated work)."
FIG109,figure,1,TBD (needs final formatted report page numbers),Who Will Produce the Most STEM PhDs?,degree-production,"NSB, ""International Comparisons of S&E Higher Education,"" Science and Engineering Indicators 2024; author's projections beyond reported figures.",2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG109*.csv,supporting_visual,observed-to-projected line (Nivo Line + projection styling),toggle total/per-capita,country,P1,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),"""2050 production race"" — FIG109/110 already HAVE real projection columns split from observed ones; projection boundary/assumptions belong in the methodology drawer."
FIG110,figure,1,TBD (needs final formatted report page numbers),Who Produces the Most STEM PhDs per Person?,degree-production,"NSB, ""International Comparisons of S&E Higher Education,"" Science and Engineering Indicators 2024; author's projections beyond reported figures.",2024,TBD (needs a human pass — see notes),TBD (needs a human pass against the report's own population language),SeriesChart,talent_charts/data/FIG110*.csv,integrated_into_other_visual,"same chart as FIG109, per-capita toggle",,,P1,imported_rendered,,TBD (Phase 9.5 — CSV per chart not yet built),
